"AREA","VARIEDADE","DATA DE PODA","DATA DA AMOSTRA","DIAS POS PODA","SEMESTRE","ESTADO DO ENGACO","COLORACAO DO CACHO","BRIX ACIMA DO IDEAL","BRIX DO SUCO","ACIDEZ","BRIX","DIAMETRO"
"A08 V2","THOMPSON","6/7/2017","10/5/2017","120","2017.2","MADURO","ÂMBAR","0.4166","17.8","0.87","16.6",""
"A10 V1","ARRA 15","6/19/2017","10/9/2017","112","2017.2","MADURO","ÂMBAR","0.1166","16","1.07","14.8",""
"A10 V2"," ARRA 15","6/19/2017","10/9/2017","112","2017.2","MADURO","ÂMBAR","0.333","15","1.23","13.8",""
"A11 V1","MIDNIGHT","6/20/2017","10/9/2017","111","2017.2","MADURO","PRETA","0.8","17","0.59","17",""
"A11 V2","MIDNIGHT","6/20/2017","10/9/2017","111","2017.2","MADURO","PRETA","0.6166","17.4","0.6","16.3",""
"B16 V1","THOMPSON","6/13/2017","10/10/2017","119","2017.2","MADURO","ÂMBAR","0.7","18.6","0.84","17.2",""
"B16 V2","THOMPSON","6/13/2017","10/10/2017","119","2017.2","MADURO","ÂMBAR","0.7833","19","0.88","18",""
"B04 V2","CRIMSON","6/12/2017","10/10/2017","120","2017.2","MADURO","VERMELHA","1","19.4","0.89","18.9",""
"B09 V1","CRIMSON","5/29/2017","10/10/2017","134","2017.2","MADURO","ROSADA","0.9666","18","0.67","17.6",""
"B03 V2","CRIMSON","6/19/2017","10/11/2017","114","2017.2","MADURO","VERMELHA","0.966","19.2","0.87","18.2",""
"A10 V1","ARRA 15","6/19/2017","10/12/2017","115","2017.2","MADURO","ÂMBAR","0.2667","16.1","0.95","17.2",""
"A10 V2","ARRA 15","6/19/2017","10/12/2017","115","2017.2","MADURO","ÂMBAR","0.2","17","1","15.6",""
"A11 V1","MIDNIGHT","6/20/2017","10/12/2017","114","2017.2","MADURO","PRETA","0.7666","17.8","0.52","16.8",""
"A11 V2","MIDNIGHT","6/20/2017","10/12/2017","114","2017.2","MADURO","PRETA","0.7","17","0.53","16.5",""
"B16 V2","THOMPSON","6/13/2017","10/12/2017","121","2017.2","MADURO","ÂMBAR","0.65","18.6","0.82","17.5",""
"B16 V1","THOMPSON","6/13/2017","10/12/2017","121","2017.2","MADURO","ÂMBAR","0.75","18.6","0.8","17.7",""
"B03 V2","CRIMSON","6/19/2017","10/13/2017","116","2017.2","MADURO","VERMELHA","0.9833","18.7","0.77","19.2",""
"B04 V2","CRIMSON","6/12/2017","10/13/2017","123","2017.2","MADURO","VERMELHA","0.9833","20","0.85","18.9",""
